,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,initial,diff,,,,,,,,,,,,,,,,,,,,,
,Italy,300,23227,384,482,2020-03-10,39,2020-03-12,37,2020-04-19,40,23227,0,,,,,,,,,,,,,,,,,,,,,
,Spagna,230,20043,429,565,2020-03-17,32,2020-03-23,26,2020-04-19,33,20639,-596,,,,,,,,,,,,,,,,,,,,,
,France,330,19323,296,642,2020-03-22,27,2020-03-24,25,2020-04-19,28,19323,0,,,,,,,,,,,,,,,,,,,,,
,Sweden,50,1511,146,111,2020-03-25,24,2020-04-07,11,2020-04-19,25,1511,0,,,,,,,,,,,,,,,,,,,,,
,UK,330,15464,228,888,2020-03-26,23,2020-03-29,20,2020-04-19,24,15464,0,,,,,,,,,,,,,,,,,,,,,
,USA,1660,39331,119,1883,2020-03-27,22,2020-03-31,18,2020-04-19,23,39014,317,,,,,,,,,,,,,,,,,,,,,
,Germany,414,4538,54,186,2020-03-28,21,2020-03-30,19,2020-04-19,22,4538,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-17,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,Adjusted values,,,,,,,,,,,,,,,,,,,,,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,initial,diff,,,,,,,,,,,,,,,,,,,,,
,Italy,300,22745,376,575,2020-03-10,38,2020-03-12,36,2020-04-18,39,22745,0,,,,,,,,,,,,,,,,,,,,,
,Spagna,230,19478,417,348,2020-03-17,31,2020-03-23,25,2020-04-18,32,20002,-524,,,,,,,,,,,,,,,,,,,,,
,France,330,18681,286,761,2020-03-22,26,2020-03-24,24,2020-04-18,27,18681,0,,,,,,,,,,,,,,,,,,,,,
,Sweden,50,1400,135,67,2020-03-25,23,2020-04-07,10,2020-04-18,24,1400,0,,,,,,,,,,,,,,,,,,,,,
,UK,330,14576,215,847,2020-03-26,22,2020-03-29,19,2020-04-18,23,14576,0,,,,,,,,,,,,,,,,,,,,,
,USA,1660,37448,113,2543,2020-03-27,21,2020-03-31,17,2020-04-18,22,37147,301,,,,,,,,,,,,,,,,,,,,,
,Germany,414,4352,52,300,2020-03-28,20,2020-03-30,18,2020-04-18,21,4352,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-16,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,Adjusted values,,,,,,,,,,,,,,,,,,,,,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,initial,diff,,,,,,,,,,,,,,,,,,,,,
,Italy,300,22170,367,525,2020-03-10,37,2020-03-12,35,2020-04-17,38,22170,0,,,,,,,,,,,,,,,,,,,,,
,Spagna,230,19130,409,318,2020-03-17,30,2020-03-23,24,2020-04-17,31,19315,-185,,,,,,,,,,,,,,,,,,,,,
,France,330,17920,275,753,2020-03-22,25,2020-03-24,23,2020-04-17,26,17920,0,,,,,,,,,,,,,,,,,,,,,
,Sweden,50,1333,129,130,2020-03-25,22,2020-04-07,9,2020-04-17,23,1333,0,,,,,,,,,,,,,,,,,,,,,
,UK,330,13729,203,861,2020-03-26,21,2020-03-29,18,2020-04-17,22,13729,0,,,,,,,,,,,,,,,,,,,,,
,USA,1660,34905,105,2193,2020-03-27,20,2020-03-31,16,2020-04-17,21,34619,286,,,,,,,,,,,,,,,,,,,,,
,Germany,414,4052,48,248,2020-03-28,19,2020-03-30,17,2020-04-17,20,4052,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-15,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,Adjusted values,,,,,,,,,,,,,,,,,,,,,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,initial,diff,,,,,,,,,,,,,,,,,,,,,
,Italy,300,21645,358,578,2020-03-10,36,2020-03-12,34,2020-04-16,37,21645,0,,,,,,,,,,,,,,,,,,,,,
,Spagna,230,18812,402,557,2020-03-17,29,2020-03-23,23,2020-04-16,30,18812,0,,,,,,,,,,,,,,,,,,,,,
,France,330,17167,263,1438,2020-03-22,24,2020-03-24,22,2020-04-16,25,17167,0,,,,,,,,,,,,,,,,,,,,,
,Sweden,50,1203,116,170,2020-03-25,21,2020-04-07,8,2020-04-16,22,1203,0,,,,,,,,,,,,,,,,,,,,,
,UK,330,12868,190,761,2020-03-26,20,2020-03-29,17,2020-04-16,21,12868,0,,,,,,,,,,,,,,,,,,,,,
,USA,1660,32712,99,2631,2020-03-27,19,2020-03-31,15,2020-04-16,20,32443,269,,,,,,,,,,,,,,,,,,,,,
,Germany,414,3804,45,309,2020-03-28,18,2020-03-30,16,2020-04-16,19,3804,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-14,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,Adjusted values,,,,,,,,,,,,,,,,,,,,,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,initial,diff,,,,,,,,,,,,,,,,,,,,,
,Italy,300,21067,348,602,2020-03-10,35,2020-03-12,33,2020-04-15,36,21067,0,,,,,,,,,,,,,,,,,,,,,
,Spagna,230,18255,390,499,2020-03-17,28,2020-03-23,22,2020-04-15,29,18255,0,,,,,,,,,,,,,,,,,,,,,
,France,330,15729,241,762,2020-03-22,23,2020-03-24,21,2020-04-15,24,15729,0,,,,,,,,,,,,,,,,,,,,,
,Sweden,50,1033,100,114,2020-03-25,20,2020-04-07,7,2020-04-15,21,1033,0,,,,,,,,,,,,,,,,,,,,,
,UK,330,12107,179,778,2020-03-26,19,2020-03-29,16,2020-04-15,20,12107,0,,,,,,,,,,,,,,,,,,,,,
,USA,1660,30081,91,2566,2020-03-27,18,2020-03-31,14,2020-04-15,19,29825,256,,,,,,,,,,,,,,,,,,,,,
,Germany,414,3495,42,301,2020-03-28,17,2020-03-30,15,2020-04-15,18,3495,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-13,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,Adjusted values,,,,,,,,,,,,,,,,,,,,,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,initial,diff,,,,,,,,,,,,,,,,,,,,,
,Italy,300,20465,338,566,2020-03-10,34,2020-03-12,32,2020-04-14,35,20465,0,,,,,,,,,,,,,,,,,,,,,
,Spagna,230,17756,380,547,2020-03-17,27,2020-03-23,21,2020-04-14,28,17756,0,,,,,,,,,,,,,,,,,,,,,
,France,330,14967,229,574,2020-03-22,22,2020-03-24,20,2020-04-14,23,14967,0,,,,,,,,,,,,,,,,,,,,,
,Sweden,50,919,89,20,2020-03-25,19,2020-04-07,6,2020-04-14,20,919,0,,,,,,,,,,,,,,,,,,,,,
,UK,330,11329,167,717,2020-03-26,18,2020-03-29,15,2020-04-14,19,11329,0,,,,,,,,,,,,,,,,,,,,,
,USA,1660,27515,83,1726,2020-03-27,17,2020-03-31,13,2020-04-14,18,23640,3875,,,,,,,,,,,,,,,,,,,,,
,Germany,414,3194,38,172,2020-03-28,16,2020-03-30,14,2020-04-14,17,3194,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-12,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,Adjusted values,,,,,,,,,,,,,,,,,,,,,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,initial,diff,,,,,,,,,,,,,,,,,,,,,
,Italy,300,19899,329,431,2020-03-10,33,2020-03-12,31,2020-04-13,34,19899,0,,,,,,,,,,,,,,,,,,,,,
,Spagna,230,17209,368,603,2020-03-17,26,2020-03-23,20,2020-04-13,27,17209,0,,,,,,,,,,,,,,,,,,,,,
,France,330,14393,221,561,2020-03-22,21,2020-03-24,19,2020-04-13,22,14393,0,,,,,,,,,,,,,,,,,,,,,
,Sweden,50,899,87,12,2020-03-25,18,2020-04-07,5,2020-04-13,19,899,0,,,,,,,,,,,,,,,,,,,,,
,UK,330,10612,157,737,2020-03-26,17,2020-03-29,14,2020-04-13,18,10612,0,,,,,,,,,,,,,,,,,,,,,
,USA,1660,25789,78,1727,2020-03-27,16,2020-03-31,12,2020-04-13,17,22105,3684,,,,,,,,,,,,,,,,,,,,,
,Germany,414,3022,36,151,2020-03-28,15,2020-03-30,13,2020-04-13,16,3022,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-11,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,Adjusted values,,,,,,,,,,,,,,,,,,,,,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,initial,diff,,,,,,,,,,,,,,,,,,,,,
,Italy,300,19468,322,619,2020-03-10,32,2020-03-12,30,2020-04-12,33,19468,0,,,,,,,,,,,,,,,,,,,,,
,Spagna,230,16606,355,525,2020-03-17,25,2020-03-23,19,2020-04-12,26,16606,0,,,,,,,,,,,,,,,,,,,,,
,France,330,13832,212,635,2020-03-22,20,2020-03-24,18,2020-04-12,21,13832,0,,,,,,,,,,,,,,,,,,,,,
,Sweden,50,887,86,17,2020-03-25,17,2020-04-07,4,2020-04-12,18,887,0,,,,,,,,,,,,,,,,,,,,,
,UK,330,9875,146,917,2020-03-26,16,2020-03-29,13,2020-04-12,17,9875,0,,,,,,,,,,,,,,,,,,,,,
,USA,1660,24062,73,2024,2020-03-27,15,2020-03-31,11,2020-04-12,16,20577,3485,,,,,,,,,,,,,,,,,,,,,
,Germany,414,2871,34,135,2020-03-28,14,2020-03-30,12,2020-04-12,15,2871,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-10,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,Adjusted values,,,,,,,,,,,,,,,,,,,,,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,initial,diff,,,,,,,,,,,,,,,,,,,,,
,Italy,300,18849,312,570,2020-03-10,31,2020-03-12,29,2020-04-11,32,18849,0,,,,,,,,,,,,,,,,,,,,,
,Spagna,230,16081,344,634,2020-03-17,24,2020-03-23,18,2020-04-11,25,16081,0,,,,,,,,,,,,,,,,,,,,,
,France,330,13197,202,987,2020-03-22,19,2020-03-24,17,2020-04-11,20,13197,0,,,,,,,,,,,,,,,,,,,,,
,Sweden,50,870,84,77,2020-03-25,16,2020-04-07,3,2020-04-11,17,870,0,,,,,,,,,,,,,,,,,,,,,
,UK,330,8958,132,980,2020-03-26,15,2020-03-29,12,2020-04-11,16,8958,0,,,,,,,,,,,,,,,,,,,,,
,USA,1660,22038,67,2236,2020-03-27,14,2020-03-31,10,2020-04-11,15,18747,3291,,,,,,,,,,,,,,,,,,,,,
,Germany,414,2736,33,129,2020-03-28,13,2020-03-30,11,2020-04-11,14,2736,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
